,Company,TypeName,Ram,OpSys,Weight,Touchscreen,IPS,PPI,Cpu_Name,HDD,SSD,Gpu brand
1063,Dell,Notebook,16,Windows,2.32,0,0,141.21199808219862,Intel Core i7,2000,0,AMD
1064,MSI,Gaming,16,Windows,1.8,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia
1065,Dell,Ultrabook,8,Windows,1.29,0,0,165.6321180513006,Intel Core i7,0,256,Intel
1066,Asus,Gaming,64,Windows,3.58,0,1,127.33567457123112,Intel Core i7,0,1000,Nvidia
1067,Dell,2 in 1 Convertible,8,Windows,1.62,1,0,165.6321180513006,Intel Core i7,0,256,Intel
1068,Dell,Gaming,16,Windows,3.21,0,0,282.42399616439724,Intel Core i7,1000,256,Nvidia
1069,Apple,Ultrabook,8,Mac,0.92,0,1,226.4155471693585,Other Intel Processor,0,0,Intel
1070,Dell,Notebook,4,Windows,2.06,0,0,100.45466986113652,Intel Core i3,500,0,Intel
1071,HP,Notebook,4,Windows,2.31,0,0,100.45466986113652,Intel Core i5,500,0,Intel
1072,HP,Ultrabook,8,Windows,1.26,0,0,176.23257360658386,Intel Core i5,0,256,Intel
1073,HP,Notebook,8,Windows,1.49,0,0,165.6321180513006,Intel Core i7,0,256,Intel
1074,Lenovo,Ultrabook,8,Windows,1.3,1,1,176.23257360658386,Intel Core i7,0,256,Intel
1075,Lenovo,Notebook,8,Windows,3.0,0,0,106.11306214269258,Intel Core i5,1000,0,AMD
1076,Lenovo,Notebook,4,Windows,2.3,0,1,141.21199808219862,Intel Core i5,1000,0,Nvidia
1077,MSI,Gaming,16,Windows,3.78,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia
1078,Lenovo,Notebook,4,Windows,2.1,0,0,100.45466986113652,Intel Core i5,500,0,Intel
1079,HP,Notebook,4,Windows,2.31,0,0,141.21199808219862,Intel Core i5,500,0,Intel
1080,Lenovo,Ultrabook,8,Windows,0.99,1,1,234.9767648087785,Other Intel Processor,0,512,Intel
1081,Lenovo,Gaming,32,Windows,4.6,0,1,127.33567457123112,Intel Core i7,0,512,Nvidia
1082,Lenovo,2 in 1 Convertible,4,Windows,0.69,1,1,224.1738090785728,Other Intel Processor,0,0,Intel
1083,HP,Ultrabook,16,Windows,1.3,0,1,331.2642361026012,Intel Core i7,0,512,Intel
1084,Dell,Notebook,8,Windows,2.18,0,0,141.21199808219862,Intel Core i5,0,256,Intel
1085,HP,Notebook,4,Windows,1.54,0,0,157.3505121487356,Intel Core i5,500,0,Intel
1086,HP,Workstation,8,Windows,1.9,0,0,141.21199808219862,Intel Core i7,0,256,AMD
1087,Lenovo,Notebook,8,Windows,1.7,0,0,157.3505121487356,Intel Core i5,0,180,Intel
1088,HP,Notebook,4,Others,1.29,0,0,276.053530085501,Other Intel Processor,0,0,Intel
1089,Acer,Notebook,4,Windows,2.4,0,0,100.45466986113652,AMD Processor,500,0,AMD
1090,Dell,Notebook,4,Linux,2.2,0,0,100.45466986113652,Other Intel Processor,500,0,Intel
1091,HP,Notebook,4,Others,1.86,0,0,100.45466986113652,Intel Core i3,1000,0,Intel
1092,Asus,Gaming,8,Windows,2.7,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia
1093,Dell,Ultrabook,4,Windows,1.4,0,1,165.6321180513006,Intel Core i5,0,256,AMD
1094,HP,Netbook,4,Windows,2.4,0,0,125.36742798669836,Intel Core i5,0,128,Intel
1095,Acer,Notebook,8,Windows,2.4,0,0,141.21199808219862,Intel Core i5,1000,256,Nvidia
1096,Dell,Notebook,8,Windows,2.36,0,0,141.21199808219862,Intel Core i5,1000,0,AMD
1097,MSI,Gaming,8,Windows,2.6,0,0,127.33567457123112,Intel Core i7,0,256,Nvidia
1098,HP,Notebook,4,Windows,1.96,0,0,100.45466986113652,Other Intel Processor,1000,0,Intel
1099,Asus,Gaming,16,Windows,4.3,0,1,127.33567457123112,Intel Core i7,1000,128,Nvidia
1100,Dell,Ultrabook,4,Windows,1.5,0,0,125.36742798669836,Intel Core i3,500,0,Intel
1101,Dell,Ultrabook,4,Windows,1.5,0,0,125.36742798669836,Intel Core i3,0,128,Intel
1102,Acer,Notebook,4,Others,2.2,0,0,100.45466986113652,Other Intel Processor,0,16,Intel
1103,HP,Workstation,8,Windows,3.0,0,1,127.33567457123112,Intel Core i7,1000,0,AMD
1104,Lenovo,Gaming,16,Windows,2.4,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia
1105,Dell,Ultrabook,8,Windows,1.5,0,0,125.36742798669836,Intel Core i5,0,256,Intel
1106,MSI,Gaming,8,Windows,2.9,0,0,127.33567457123112,Intel Core i7,1000,128,Nvidia
1107,Lenovo,2 in 1 Convertible,4,Windows,2.1,1,1,141.21199808219862,Intel Core i5,0,256,Intel
1108,HP,Notebook,4,Windows,2.1,0,0,141.21199808219862,AMD Processor,1000,0,AMD
1109,Asus,Gaming,16,Windows,2.59,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia
1110,HP,Notebook,8,Windows,1.16,1,0,276.053530085501,Other Intel Processor,0,256,Intel
1111,Dell,Notebook,4,Windows,2.24,0,0,100.45466986113652,Intel Core i5,500,0,AMD
1112,Lenovo,Notebook,4,Windows,2.1,0,0,100.45466986113652,Intel Core i3,0,128,Intel
1113,HP,Ultrabook,8,Windows,1.16,0,0,165.6321180513006,Intel Core i7,0,512,Intel
